created_utc,rob_signed_mean,rob_signed_std,rob_signed_count,vader_compound_mean,vader_compound_std,vader_compound_count,afinn_per_word_mean,afinn_per_word_std,afinn_per_word_count,nrc_positive_mean,nrc_positive_std,nrc_positive_count,nrc_negative_mean,nrc_negative_std,nrc_negative_count,nrc_anger_mean,nrc_anger_std,nrc_anger_count,nrc_anticipation_mean,nrc_anticipation_std,nrc_anticipation_count,nrc_disgust_mean,nrc_disgust_std,nrc_disgust_count,nrc_fear_mean,nrc_fear_std,nrc_fear_count,nrc_joy_mean,nrc_joy_std,nrc_joy_count,nrc_sadness_mean,nrc_sadness_std,nrc_sadness_count,nrc_surprise_mean,nrc_surprise_std,nrc_surprise_count,nrc_trust_mean,nrc_trust_std,nrc_trust_count,hedge_density_mean,hedge_density_std,hedge_density_count
2022-01-02 00:00:00+00:00,-0.044072304,0.5464861,33,0.16258787878787878,0.638107181317124,33,0.02728446591331908,0.0815583158196597,33,0.20948347200034378,0.1744497348683892,33,0.1308170680469878,0.1233180677877378,33,0.03821909225895853,0.058592974430227554,33,0.06554456250400094,0.09760708852283928,33,0.01872473918450597,0.03868587976883247,33,0.06847375568072527,0.09094539968890304,33,0.058495102848492506,0.08063640600871103,33,0.05076019460867332,0.07544258061271818,33,0.0371007977019855,0.09270604731171385,33,0.11026000304411424,0.12514295646781817,33,0.2818181818181818,0.25439644611009143,33
2022-01-09 00:00:00+00:00,-0.09231977,0.4218969,166,0.4457493975903614,0.5665996459204777,166,0.03006658478001849,0.07161368988219785,166,0.31213665919876665,0.19702892228017654,166,0.11648611064155373,0.11203348954646064,166,0.03424158725536433,0.0531494338701733,166,0.1067770866816557,0.0961253006858531,166,0.01689502994793867,0.03127923193266718,166,0.058790323785809756,0.07051625323268562,166,0.07576914774535445,0.0709711510243256,166,0.04273570361056737,0.06042713147882776,166,0.04315412439983469,0.06208339545213274,166,0.15686964841990161,0.12932197539976403,166,0.3164120390561219,0.26467791434036436,166
2022-01-16 00:00:00+00:00,0.002039574,0.4953315,134,0.4256179104477612,0.5990700317868309,134,0.03279145347155178,0.07865845639415928,134,0.28863490010660076,0.19606661713454285,134,0.11638368514234959,0.10498768050134967,134,0.04062325065086607,0.06345952621882409,134,0.0987654240005157,0.11410853900138843,134,0.02303928074422488,0.03876356610644006,134,0.05644863613972322,0.061108485913126946,134,0.06726708711649516,0.0707870405147329,134,0.045898060258171225,0.05815061297790585,134,0.0361559075454672,0.05088901751090614,134,0.13723152948961606,0.10798630070416448,134,0.34673397906517206,0.27283679259225074,134
2022-01-23 00:00:00+00:00,-0.029041031,0.4710671,180,0.37568333333333337,0.5679386967764122,180,0.038277900479457797,0.10105278740809441,180,0.26578760211615166,0.21599913556260344,180,0.11147634710148627,0.13874042285667518,180,0.032659371011000075,0.058323997165837436,180,0.08812282896424967,0.12496100135463595,180,0.017763577072154674,0.04019077039499472,180,0.07231580413537343,0.10846741255260141,180,0.0638354309628866,0.08271531320385889,180,0.037356185326225394,0.058301122555914964,180,0.02762081009271577,0.05643164919208955,180,0.13306204321775644,0.13481144641680162,180,0.292136568797767,0.29081457103896646,180
2022-01-30 00:00:00+00:00,-0.052763898,0.49682295,166,0.3872686746987952,0.5433932538651101,166,0.040112822749588585,0.12645071373579367,166,0.25058455863778206,0.18594313508142735,166,0.09619018333540191,0.12472748878402712,166,0.029721337896632484,0.05337668748756495,166,0.08368339492869592,0.10247695673660667,166,0.0207727054234078,0.053618678482508716,166,0.05524323497823587,0.06915679289372738,166,0.060542340504482775,0.06923159427404019,166,0.03856812645658207,0.058685425865451245,166,0.04842017608889783,0.12237946101250843,166,0.1536233393402427,0.14758915597907557,166,0.3391227855335764,0.31899293386950606,166
2022-02-06 00:00:00+00:00,-0.008629052,0.48211235,164,0.43572256097560974,0.585820899191551,164,0.034368998425804306,0.07570879715648673,164,0.2926897099141298,0.184731109983211,164,0.12147562908479766,0.14139614759606012,164,0.029353374602148576,0.04490563329552105,164,0.09268904131221868,0.08210492796203524,164,0.021142130704585642,0.03594693123433741,164,0.06358294038024448,0.06607433174865222,164,0.06931277584527434,0.07053884748644598,164,0.047112210348552765,0.052945127742541835,164,0.033944276051762076,0.04006698006876501,164,0.15552718004896887,0.12777362477669765,164,0.2841773557988738,0.25380763655692923,164
2022-02-13 00:00:00+00:00,-0.04153596,0.4933571,189,0.41235873015873015,0.5555081008376486,189,0.04048445151937675,0.08078356467497828,189,0.2613747707281233,0.18522141884599364,189,0.11332556054209911,0.11557257448266568,189,0.03219715188568725,0.044511825109826215,189,0.09445740867057537,0.10317193780469497,189,0.020570826495941875,0.03867619635535544,189,0.06207360347735711,0.07927507915371755,189,0.06888930538597483,0.07547090627550716,189,0.05148815989180365,0.07170509877596754,189,0.033030250064687454,0.047642387240327835,189,0.14619084645563366,0.13790219464091003,189,0.3256047709141227,0.3114091137349184,189
2022-02-20 00:00:00+00:00,-0.018867495,0.45353538,173,0.43915606936416185,0.4876606810099261,173,0.037292640737101784,0.08507245634133007,173,0.2750030015123513,0.2060500297720724,173,0.08963319819297602,0.1162033120337223,173,0.02908510313055037,0.04420142163653817,173,0.082752199723019,0.09951453248187318,173,0.01900089302384301,0.03698691327619838,173,0.04300844031545031,0.0658825993204049,173,0.06457779699036775,0.0731967980526662,173,0.03802337679756193,0.06088408938821562,173,0.0306315644131768,0.055248032549276016,173,0.14909367445561675,0.12079133396712796,173,0.32801107002484087,0.31647264802399844,173
2022-02-27 00:00:00+00:00,0.0035043878,0.49738568,138,0.42501666666666665,0.5272591315131396,138,0.04376454263991408,0.07167422352700813,138,0.2445467200658713,0.18413227429860177,138,0.09769028148493224,0.11390648836199475,138,0.028168749874205874,0.04608014022935116,138,0.11740633422441842,0.16488724870600396,138,0.018410492160207285,0.059118264240949375,138,0.056305129078597735,0.0903986612768604,138,0.07349209158687171,0.0731794007423122,138,0.04438630315391249,0.07111739090018095,138,0.02836019324913787,0.05680689034128131,138,0.1390597920783668,0.13584630588352753,138,0.3066073464469951,0.3147973040307796,138
2022-03-06 00:00:00+00:00,-0.027825875,0.4778932,124,0.454283870967742,0.5670600228316547,124,0.032911087938685385,0.08342374647583913,124,0.2841059448027239,0.2430490404304748,124,0.10204766978974306,0.11623355841429461,124,0.034597280806535506,0.05430931129278312,124,0.09196993096326384,0.1535959408692611,124,0.016949702154066718,0.03452022651808937,124,0.06440276199027804,0.0786488082078532,124,0.06869482870357396,0.07409734195664998,124,0.03732121462900094,0.06167967366656805,124,0.027287418702468293,0.05668299635232612,124,0.15165550552286186,0.1622568706690014,124,0.2603579363834418,0.3010248835826882,124
2022-03-13 00:00:00+00:00,-0.11554853,0.42431375,117,0.31753418803418804,0.5693014494736743,117,0.019536871373184966,0.07803469255126151,117,0.3028279244434353,0.22003531891969438,117,0.1251591354928929,0.13684542156997492,117,0.03449298623671105,0.06516352183306678,117,0.08825276857719697,0.10182376493615952,117,0.020165943547712475,0.03664272139554998,117,0.06021478139214912,0.07177072359509445,117,0.06411880439653364,0.0781390355249839,117,0.03953336437786815,0.05610078044589471,117,0.029882659073762374,0.06330183292254568,117,0.1327875298976354,0.1427616258860167,117,0.30527163130880025,0.3056451614559306,117
2022-03-20 00:00:00+00:00,0.051721722,0.52560025,174,0.43476321839080456,0.5496087135965535,174,0.04895580666354935,0.0942577379516471,174,0.2590234561602362,0.22399635435092316,174,0.112239233910397,0.14920282606028878,174,0.027115552932929658,0.05575741814402983,174,0.07956009887503966,0.10987403094721625,174,0.019220736739934175,0.04606228407093096,174,0.056959517202329404,0.08477637361567958,174,0.06223044816559464,0.07318933454985344,174,0.04173102808172621,0.06844330437713092,174,0.03266165377340737,0.06307270003156312,174,0.12535022818139416,0.1177963618451308,174,0.3137664934419498,0.30487371584886475,174
2022-03-27 00:00:00+00:00,-0.0455985,0.48278534,135,0.46268444444444445,0.5181845416777993,135,0.02908809683980239,0.07944141205225559,135,0.28110029910865425,0.20444196779998042,135,0.1134923752521467,0.11848942843837305,135,0.03631113031997838,0.0557248385650812,135,0.10385413040331122,0.14540326618929278,135,0.021306289892617958,0.03956516489985292,135,0.053804426936389114,0.06945315693326153,135,0.07483061005597477,0.08944701947766437,135,0.044983384320904846,0.08080734450544226,135,0.03440810593382866,0.05786218587719207,135,0.15442776629471264,0.13377740534532104,135,0.3069440409558341,0.29005133617846846,135
2022-04-03 00:00:00+00:00,-0.14896989,0.4261871,172,0.4180633720930233,0.6632380674747393,172,0.012808876828876948,0.11422498980160144,172,0.27718167727896864,0.15713546578608484,172,0.13094641394648251,0.12669596455725984,172,0.03783370851397262,0.04709693211062427,172,0.1115236809374956,0.12290733481899932,172,0.024516700580061078,0.04293563409975568,172,0.06844598606052046,0.059234658071614495,172,0.0689632658158958,0.061579878688384264,172,0.04922621239787776,0.06214940125742119,172,0.03745388661525324,0.08498262056193763,172,0.1648387004116118,0.1318332867451622,172,0.37039007102946825,0.254808996865193,172
