,rob_signed,vader_compound,afinn_per_word,nrc_positive,nrc_negative,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_sadness,nrc_surprise,nrc_trust,hedge_density
rob_signed,1.0,0.31820231479190225,0.35509388635439365,0.16929841771452564,-0.2869826368366576,-0.2238717053470154,0.08789114164390532,-0.1963953490866408,-0.20698605533167577,0.12817373302514543,-0.21465384077818656,0.013834202303235397,0.058476336688758526,-0.12723049716867257
vader_compound,0.31820231479190225,1.0,0.43015239421064944,0.3022423503935547,-0.1713018630012997,-0.13733512502397546,0.18288345504588766,-0.0952436945107882,-0.12477869085178313,0.32962531494145053,-0.11634787096403805,0.11084407503969224,0.23151413757717618,0.10950879134175878
afinn_per_word,0.35509388635439365,0.43015239421064944,1.0,0.2280120876190289,-0.257780837934702,-0.1752806391027759,0.12235025326882383,-0.12376548427656496,-0.18680529888024178,0.24812313781841774,-0.17648143973658575,0.0728141024824766,0.14762570281811804,0.03316127523552443
nrc_positive,0.16929841771452564,0.3022423503935547,0.2280120876190289,1.0,-0.1463607520495756,-0.13697965255061315,0.08357346164456299,-0.10656948828045566,-0.13460857735640103,0.2207401089173707,-0.12804641069799724,-0.006284712775228687,0.2663408356370543,0.13773595121951596
nrc_negative,-0.2869826368366576,-0.1713018630012997,-0.257780837934702,-0.1463607520495756,1.0,0.39824489677891417,-0.04346298428164898,0.2893313306255406,0.3354892673579358,-0.13354986405580765,0.42864271857411834,0.007353566577447499,-0.10177550882310207,0.1643864810320303
nrc_anger,-0.2238717053470154,-0.13733512502397546,-0.1752806391027759,-0.13697965255061315,0.39824489677891417,1.0,-0.04633669879484785,0.3309912249370751,0.29412951976460067,-0.05775507406714627,0.2703654975944494,0.04215215679492584,-0.08367101549745135,0.13671419471210583
nrc_anticipation,0.08789114164390532,0.18288345504588766,0.12235025326882383,0.08357346164456299,-0.04346298428164898,-0.04633669879484785,1.0,-0.03756987954641384,-0.052407434976334724,0.20343991882502838,-0.04897506045200968,0.15499771390170253,0.0657882590193188,0.10822479183887204
nrc_disgust,-0.1963953490866408,-0.0952436945107882,-0.12376548427656496,-0.10656948828045566,0.2893313306255406,0.3309912249370751,-0.03756987954641384,1.0,0.22242006774773004,-0.035581844918455466,0.2640458475470905,0.051441792370912155,-0.068931935839905,0.12274962527174269
nrc_fear,-0.20698605533167577,-0.12477869085178313,-0.18680529888024178,-0.13460857735640103,0.3354892673579358,0.29412951976460067,-0.052407434976334724,0.22242006774773004,1.0,-0.03611417684283931,0.404320545355946,-0.0008077658023464523,-0.06300771252847366,0.12920855957732516
nrc_joy,0.12817373302514543,0.32962531494145053,0.24812313781841774,0.2207401089173707,-0.13354986405580765,-0.05775507406714627,0.20343991882502838,-0.035581844918455466,-0.03611417684283931,1.0,-0.051111723051333595,0.20701984526391567,0.242595239156162,0.15456031909673884
nrc_sadness,-0.21465384077818656,-0.11634787096403805,-0.17648143973658575,-0.12804641069799724,0.42864271857411834,0.2703654975944494,-0.04897506045200968,0.2640458475470905,0.404320545355946,-0.051111723051333595,1.0,0.023905796110963728,-0.10446678237004782,0.15989868050104067
nrc_surprise,0.013834202303235397,0.11084407503969224,0.0728141024824766,-0.006284712775228687,0.007353566577447499,0.04215215679492584,0.15499771390170253,0.051441792370912155,-0.0008077658023464523,0.20701984526391567,0.023905796110963728,1.0,0.02259154280378795,0.12944358067204595
nrc_trust,0.058476336688758526,0.23151413757717618,0.14762570281811804,0.2663408356370543,-0.10177550882310207,-0.08367101549745135,0.0657882590193188,-0.068931935839905,-0.06300771252847366,0.242595239156162,-0.10446678237004782,0.02259154280378795,1.0,0.15208894286283742
hedge_density,-0.12723049716867257,0.10950879134175878,0.03316127523552443,0.13773595121951596,0.1643864810320303,0.13671419471210583,0.10822479183887204,0.12274962527174269,0.12920855957732516,0.15456031909673884,0.15989868050104067,0.12944358067204595,0.15208894286283742,1.0
